"MEASURE - Absolute value in thousands"

YEAR,"1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Selected exporters of manufactured goods",1164541.051,1191584.442,1216558.589,1240378.092,1263790.556,1287377.183,1311545.42,1336535.972,1362442.588,1389245.207,1416908.844,1445489.608,1475227.18,1506584.334,1540134.725,1576232.324,1615057.982,1656345.685,1699432.353,1743384.926,1787478.719,1831544.559,1875627.114,1919482.836,1962887.331,2005713.038,2047822.655,2089303.089,2130552.691,2172138.368,2214506.891,2257613.102,2301414.031,2346339.946,2392916.91,2441420.346,2492134.531,2544691.43,2597904.309,2650150.777,2700263.595,2747759.439,2792946.642,2836423.457,2879155.043,2921842.06,2964636.51,3007282.077,3049595.81,3091269.434,3132091.497,3172034.216,3211227.276,3249801.851,3287945.032,3325797.816,3363389.783,3400696.058,3437734.625,3474511.942,3511023.367,3547255.381,3583182.185,3618763.39,3653946.405,3688669.239,3722921.656,3756638.585,3789636.265,3821683.642,3852611.184,3882330.755,3910863.533,3938287.503,3964737.057,3990309.659,4015009.44,4038794.093,4061661.037,4083600.857,4104602.473,4124673.264,4143806.386,4161958.23,4179071.265,4195104.893,4210045.407,4223906.295,4236709.059,4248488.212,4259272.198,4269070.684,4277886.797,4285736.111,4292635.438,4298600.779,4303647.273,4307788.356,4311035.678,4313399.947,4314893.571000001
"Selected exporters of manufactured goods and primary commodities",802746.28,823930.688,842652.571,859876.771,876388.143,892791.969,909506.1090000001,926768.593,944659.159,963135.3760000001,982140.415,1001718.523,1022115.832,1043823.413,1067454.962,1093386.643,1121818.141,1152456.042,1184557.606,1217081.42,1249227.283,1280791.829,1311847.738,1342214.964,1371764.377,1400437.35,1428130.246,1454910.797,1481131.819,1507290.437,1533791.408,1560582.383,1587665.745,1615546.942,1644854.103,1675942.372,1709124.455,1744032.98,1779498.893,1813910.483,1846108.327,1875639.369,1902821.715,1928215.59,1952729.402,1977030.704,2001263.625,2025210.881,2048761.047,2071702.804,2093899.643,2115374.838,2136261.676,2156663.485,2176716.096,2196537.642,2216141.514,2235562.078,2254959.603,2274528.401,2294394.964,2314600.323,2335072.984,2355677.381,2376215.212,2396512.519,2416540.119,2436250.372,2455427.034,2473808.307,2491205.456,2507514.228,2522763.243,2537067.243,2550614.471,2563546.9,2575886.211,2587596.137,2598694.594,2609192.46,2619098.215,2628432.519,2637205.396,2645399.422,2652986.182,2659947.141,2666279.058,2671996.591,2677120.334,2681678.952,2685693.75,2689174.727,2692119.455,2694522.111,2696371.467,2697660.804,2698395.675,2698585.582,2698232.122,2697336.946,2695905.145
"Selected exporters of agricultural products",96943.008,98952.655,101034.822,103184.559,105400.564,107684.893,110043.497,112485.794,115024.11,117672.556,120443.625,123345.008,126376.191,129527.309,132782.806,136132.535,139570.634,143103.626,146747.761,150525.87,154452.684,158533.62,162758.831,167109.076,171557.041,176082.071,180690.507,185387.463,190151.083,194953.748,199783.476,204628.135,209515.564,214523.75,219757.258,225293.403,231148.572,237306.373,243768.495,250526.914,257565.974,264907.97,270276.087,278096.293,285949.465,293729.484,301385.107,308955.498,316537.341,324275.032,332273.163,340552.177,349076.53,357826.621,366765.605,375860.445,385126.349,394561.112,404093.98,413632.357,423116.802,432521.795,431772.57,440940.446,450316.265,459991.79,469982.097,480272.176,490884.261,501836.03,513129.741,524780.271,536758.4399999999,548964.356,561264.2070000001,573555.794,585798.811,597999.654,610159.869,622298.113,634427.6090000001,646536.455,658610.041,670657.933,682695.324,694732.8860000001,706770.811,718803.603,730829.3860000001,742844.82,754846.177,766831.201,778796.378,790734.468,802636.6750000001,814495.151,826303.997,838058.693,849754.296,861386.218,872949.32
"Selected exporters of minerals and mining products",47303.178,48212.6,49157.763,50145.067,51178.513,52259.904,53388.52,54561.459,55774.007,57020.036,58294.359,59594.808,60923.775,62289.474,63703.305,65173.494,66703.90700000001,68292.07399999999,69931.519,71612.42999999999,73328.319,75076.758,76861.779,78690.61199999999,80573.78,82518.818,84530.946,86608.44,88743.037,90922.595,93139.811,95385.681,97666.29700000001,100007.909,102446.315,105004.021,107699.594,110517.433,113404.943,116288.611,119119.275,121873.801,136792.011,139605.635,142510.913,145587.44,148865.268,152322.571,155924.491,159614.223,163352.707,167133.221,170978.314,174912.626,178971.73,183182.388,187556.622,192090.674,196777.398,201603.214,206560.626,211637.145,216842.119,222214.508,227806.953,233650.909,239767.801,246128.566,252652.21,259226.95,265773.166,272259.593,278710.513,285169.89,291707.437,298374.579,305179.516,312106.18,319152.723,326311.65,333576.383,340947.798,348425.771,356000.496,363658.763,371389.684,379186.902,387047.301,394966.035,402939.051,410961.834,419029.616,427136.634,435275.517,443438.426,451618.657,459810.882,468011.828,476218.982,484431.056,492646.106
"Net food-importing economies",1525438.278,1555011.143,1582653.189,1609204.014,1635354.285,1661646.185,1688466.749,1716054.184,1744514.996,1773851.448,1804046.709,1835154.983,1867379.947,1901109.509,1936818.771,1974789.195,2015172.58,2057713.738,2101767.204,2146434.704,2191019.751,2235366.019,2279516.538,2323225.93,2366264.742,2408363.192,2449690.089,2490236.879,2530441.632,2570921.389,2612173.772,2654150.976,2696875.28,2740854.531,2786826.537,2835180.217,2886249.134,2939603.052,2993918.44,3047375.003,3098648.744,3147286.792,3118011.874,3162526.23,3205990.015,3248984.289,3291591.861,3333704.237,3375509.492,3417206.509,3458971.068,3500923.843,3543166.138,3586768.584,3629979.41,3673813.831,3718312.015,3763508.324,3810087.121,3856865.827,3904478.197,3953004.428,4002240.909,4052005.258,4101996.338,4151981.181,4201851.116,4251581.054,4301127.55,4350475.59,4399599.806,4448461.004,4496987.606,4545094.023,4592683.592,4639688.282,4686065.341,4731825.091,4777022.432,4821744.684,4866059.723,4909978.25,4953491.529,4996628.222,5039418.963000001,5081885.679,5124036.583,5165868.927,5207377.474,5248551.031,5289375.198,5329846.489,5369950.14,5409644.744,5448878.365,5487608.844,5525815.833,5563491.575,5600621.136,5637192.774,5673196.322
"  Net food-importing developing economies",980697.005,1004431.349,1025939.555,1046181.3,1065935.592,1085801.437,1106189.113,1127328.69,1149291.708,1172027.65,1195474.406,1219676.017,1244884.812,1271606.342,1300473.667,1331880.786,1366036.798,1402656.909,1441014.275,1480084.978,1519085.149,1557828.062,1596398.548,1634622.045,1672371.832,1709596.72,1746199.165,1782267.003,1818190.178,1854511.514,1891670.688,1929627.79,1968417.409,2008486.332,2050492.018,2094785.926,2141672.116,2190773.899,2240913.401,2290468.01,2338260.686,2383862.888,2479019.524,2521921.237,2564069.291,2606048.047,2647960.073,2689659.96,2731210.58,2772642.259,2814005.064,2855367.873,2896848.247,2939543.989,2981758.716,3024548.445,3067962.22,3112013.808,3156747.756,3202196.725,3248365.06,3295336.049,3342946.901,3391077.003,3439489.457,3487999.563,3536508.516,3585008.192,3633512.332,3682071.707,3730704.225,3779397.227,3828061.828,3876551.384,3924679.845,3972310.826,4019379.896,4065905.429,4111937.849,4157567.734,4202863.892,4247827.413,4292437.279,4336717.415,4380695.089,4424388.899,4467803.039,4510930.764,4553763.139,4596285.864,4638481.927,4680345.764,4721861.945,4762990.359,4803681.532,4843895.215,4883611.341,4922821.897,4961513.76,4999677.213000001,5037303.996
"  Net food-importing developed economies",544741.273,550579.794,556713.634,563022.714,569418.693,575844.748,582277.6360000001,588725.494,595223.2879999999,601823.798,608572.303,615478.966,622495.135,629503.167,636345.1040000001,642908.409,649135.782,655056.829,660752.929,666349.726,671934.602,677537.9570000001,683117.99,688603.885,693892.91,698766.472,703490.924,707969.8760000001,712251.454,716409.875,720503.084,724523.186,728457.871,732368.199,736334.519,740394.291,744577.018,748829.1530000001,753005.039,756906.993,760388.058,763423.904,638992.35,640604.993,641920.7240000001,642936.242,643631.7879999999,644044.277,644298.912,644564.25,644966.004,645555.97,646317.891,647224.595,648220.694,649265.3860000001,650349.795,651494.516,653339.365,654669.102,656113.137,657668.379,659294.008,660928.255,662506.8810000001,663981.618,665342.6,666572.862,667615.218,668403.883,668895.581,669063.777,668925.7780000001,668542.639,668003.747,667377.456,666685.445,665919.662,665084.583,664176.95,663195.831,662150.8370000001,661054.25,659910.807,658723.874,657496.78,656233.544,654938.1629999999,653614.335,652265.167,650893.271,649500.725,648088.195,646654.385,645196.833,643713.629,642204.492,640669.678,639107.3760000001,637515.561,635892.326
"Major net food-importing economies",1345612.194,1372561.95,1397349.118,1420794.558,1443580.729,1466252.178,1489209.527,1512715.368,1536908.746,1561829.682,1587494.152,1613972.837,1641460.606,1670306.451,1700928.937,1733568.709,1768360.303,1805061.096,1843050.43,1881468.242,1919642.952,1957422.368,1994830.917,2031598.617,2067461.745,2102270.684,2135907.831,2168496.692,2200457.108,2232381.916,2264755.484,2297525.243,2330699.998,2364876.08,2400793.653,2438877.014,2479453.389,2522101.147,2565561.128,2608093.094,2648421.9,2686137.855,2577742.313,2610797.344,2642543.662,2673386.291,2703329.417,2732315.363,2760640.506,2788672.258,2816698.773,2844892.288,2873287.21,2901862.491,2930531.299,2959251.643,2987983.839,3016830.115,3046045.302,3075962.923,3106785.151,3138601.908,3171236.138,3204287.107,3237197.892,3269538.497,3301165.348,3332101.192,3362285.035,3391700.383,3420334.967,3448126.307,3475036.319,3501120.133,3526469.401,3551157.92,3575199.855,3598591.205,3621368.541,3643572.628,3665237.152,3686384.308,3707027.219,3727179.502,3746850.671,3766048.918,3784782.743,3803059.781,3820884.499,3838259.909,3855186.043,3871667.297,3887699.737,3903264.088,3918334.072,3932890.061,3946926.968,3960447.913,3973451.664,3985939.238,3997912.939
"Net food-exporting economies",1010851.5,1028874.53,1048054.131,1068245.754,1089328.694,1111205.536,1133803.746,1157074.303,1180989.05,1205536.838,1230709.845,1256490.049,1282836.902,1309681.706,1336943.268,1364570.666,1392517.71,1420814.272,1449580.395,1478986.258,1509151.634,1540125.926,1571866.101,1604287.23,1637260.124,1670693.472,1704529.125,1738796.883,1773594.906,1809066.55,1845296.123,1882305.145,1919965.643,1958163.895,1996629.858,2035177.331,2073740.365,2112321.637,2150888.608,2189427.277,2227928.017,2266337.313,2380233.092,2418386.14,2456463.219,2494517.924,2532574.82,2570600.755,2608526.026,2646252.132,2683715.646,2720863.865,2757732.72,2793505.191,2830233.502,2867115.571,2904202.895,2941416.967,2977968.205,3014860.214,3051298.771,3087196.511,3122586.01,3157553.853,3192241.827,3226736.779,3261072.284,3295162.235,3328832.516,3361846.513,3394037.793,3425329.621,3455776.658,3485505.435,3514708.663,3543524.273,3571974.726,3600005.194,3627581.548,3654645.585,3681146.098,3707078.592,3732432.648,3757140.519,3781117.838,3804301.521,3826664.097,3848209.3,3868945.631,3888895.846,3908079.458,3926495.285,3944143.398,3961048.088,3977240.925,3992747.819,4007581.844,4021748.97,4035259.023,4048120.521,4060341.313
"  Net food-exporting developing economies",710812.015,724869.884,739717.3270000001,755296.268,771563.121,788488.552,806058.468,824273.3149999999,843145.468,862696.446,882945.523,903898.719,925538.866,947820.735,970684.067,994088.5600000001,1018004.635,1042450.691,1067492.352,1093223.431,1119706.566,1146972.483,1174986.695,1203667.321,1232897.515,1262595.755,1292698.969,1323232.279,1354305.461,1386078.048,1418646.065,1452033.302,1486108.699,1520757.889,1555708.627,1590771.649,1625874.199,1661014.226,1696159.562,1731297.71,1766415.079,1801466.718,1852720.715,1887463.338,1922112.054,1956695.518,1991217.55,2025652.574,2059967.609,2094117.949,2128073.574,2161817.792,2195363.483,2227798.686,2261044.279,2294215.599,2327319.135,2360338.721,2393262.097,2426069.235,2458741.683,2491248.142,2523575.785,2555741.647,2587774.001,2619674.528,2651461.448,2683071.504,2714327.087,2744994.997,2774909.906,2803987.682,2832272.921,2859888.776,2887025.717,2913819.733,2940292.278,2966386.87,2992066.817,3017271.202,3041948.069,3066090.74,3089692.344,3112697.916,3135040.237,3156668.592,3177559.525,3197713.704,3217135.783,3235841.923,3253845.957,3271144.981,3287738.233,3303645.957,3318894.938,3333506.682,3347490.529,3360848.998,3373587.645,3385710.413,3397220.858
"  Net food-exporting developed economies",300039.485,304004.646,308336.804,312949.486,317765.573,322716.984,327745.278,332800.988,337843.582,342840.392,347764.322,352591.33,357298.036,361860.971,366259.201,370482.106,374513.075,378363.581,382088.043,385762.827,389445.068,393153.443,396879.406,400619.909,404362.609,408097.717,411830.156,415564.604,419289.445,422988.502,426650.058,430271.843,433856.944,437406.006,440921.231,444405.682,447866.166,451307.411,454729.046,458129.567,461512.938,464870.595,527512.377,530922.802,534351.165,537822.406,541357.27,544948.181,548558.417,552134.183,555642.072,559046.073,562369.237,565706.505,569189.223,572899.972,576883.76,581078.246,584706.108,588790.9790000001,592557.088,595948.369,599010.225,601812.206,604467.826,607062.2510000001,609610.836,612090.731,614505.429,616851.516,619127.887,621341.939,623503.737,625616.659,627682.946,629704.54,631682.448,633618.324,635514.731,637374.383,639198.029,640987.852,642740.304,644442.603,646077.601,647632.929,649104.572,650495.596,651809.848,653053.923,654233.5010000001,655350.304,656405.165,657402.1310000001,658345.987,659241.137,660091.3149999999,660899.972,661671.378,662410.108,663120.455
"Major net food-exporting economies",984276.7020000001,1001685.884,1020224.736,1039746.616,1060128.826,1081272.439,1103103.488,1125571.761,1148648.242,1172321.016,1196581.706,1221411.775,1246770.129,1272587.718,1298782.796,1325304.309,1352104.936,1379214.71,1406756.606,1434904.736,1463781.292,1493436.526,1523825.149,1554858.1,1586400.6,1618356.724,1650665.983,1683357.999,1716530.975,1750329.218,1784837.077,1820076.552,1855950.26,1892276.203,1928807.405,1965352.816,2001847.123,2038296.068,2074668.186,2110951.307,2147139.114,2183172.933,2267647.611,2303517.276,2339361.126,2375231.572,2411161.87,2447100.552,2482915.17,2518424.215,2553503.269,2588070.655,2622173.366,2655023.074,2688719.957,2722495.498,2756407.328,2790358.98,2823542.074,2856932.704,2889716.906,2921809.035,2953250.015,2984123.343,3014568.174,3044674.427,3074468.998,3103879.592,3132780.68,3160999.697,3188415.459,3214972.868,3240713.556,3265731.76,3290170.246,3314130.547,3337627.582,3360618.716,3383076.654,3404955.971,3426215.268,3446851.252,3466851.369,3486150.815,3504668.884,3522345.7,3539156.52,3555107.423,3570209.299,3584487.049,3597962.482,3610637.111,3622513.642,3633618.801,3643986.424,3653645.001,3662609.569,3670888.723,3678496.447,3685445.703,3691748.273
"BASIC",998347.6310000001,1021814.4,1042885.488,1062451.083,1081248.563,1099862.579,1118718.951,1138090.846,1158115.976,1178826.125,1200234.8,1222430.738,1245659.907,1270360.49,1297063.616,1326100.669,1357631.157,1391424.431,1426917.775,1463312.956,1499974.23,1536775.923,1573714.122,1610428.091,1646525.534,1681755.182,1715943.33,1749206.344,1781965.38,1814833.299,1848292.848,1882310.63,1916837.257,1952302.936,1989230.54,2027902.334,2068594.227,2110966.903,2153921.582,2195950.429,2235965.212,2273537.438,2308950.254,2342703.765,2375618.632,2408298.775,2440857.115,2473092.547,2504933.447,2536230.212,2566884.367,2596897.164,2626357.879,2655355.115,2684006.194,2712394.007,2740551.752,2768453.573,2796049.076,2823259.145,2850022.371,2876303.872,2902106.602,2927448.483,2952362.662,2976858.388,3000937.308,3024542.149,3047551.912,3069809.234,3091196.258,3111660.572,3131212.907,3149878.009,3167708.59,3184743.458,3200974.224,3216380.035,3230974.225,3244774.359,3257790.683,3270032.544,3281490.409,3292132.679,3301915.761,3310809.403,3318807.596,3325923.917,3332172.823,3337576.983,3342157.132,3345923.002,3348883.724,3351060.225,3352476.676,3353155.523,3353114.275,3352368.271,3350935.35,3348833.189,3346079.512
"BRICS",1179382.909,1205420.611,1229404.137,1252126.741,1274245.286,1296280.131,1318609.907,1341476.719,1365001.828,1389211.546,1414115.258,1439788.514,1466445.805,1494472.02,1524333.612,1556319.047,1590562.904,1626852.682,1664680.746,1703329.794,1742225.673,1781263.213,1820430.822,1859367.89,1897674.095,1935094.507,1971457.347,2006891.853,2041838.411,2076933.78,2112675.856,2149018.315,2185897.822,2223753.86,2263121.571,2304277.836,2347512.151,2392440.579,2437829.283,2481992.926,2523716.524,2562528.776,2457218.83,2491077.349,2523968.075,2556526.246,2588877.967,2620822.567,2652294.06,2683146.127,2713289.257,2742727.89,2771573.586,2799965.991,2828086.843,2856066.132,2883955.01,2911719.78,2939297.84,2966586.049,2993501.644,3020006.899,3046100.49,3071773.939,3097027.499,3121843.447,3146212.682,3170072.24,3193285.946,3215681.494,3237130.718,3257572.594,3277018.851,3295506.583,3313107.712,3329876.19,3345808.32,3360882.617,3375116.319,3388530.25,3401138.197,3412953.287,3423970.748,3434164.483,3443496.853,3451942.656,3459498.912,3466181.37,3472007.389,3477002.17,3481188.298,3484576.907,3487177.336,3489009.265,3490094.702,3490454.047,3490104.194,3489059.618,3487335.232,3484945.118,3481903.998
"Industrialized economies (UNIDO)",808102.652,817640.0550000001,827998.6040000001,838950.061,850310.27,861939.45,873743.9840000001,885674.093,897718.566,909893.799,922213.959,934658.253,947142.627,959507.64,971552.91,983138.2879999999,994181.286,1004720.374,1014888.93,1024888.855,1034865.263,1044866.492,1054841.538,1064717.826,1074382.404,1083758.444,1092834.077,1101655.698,1110276.236,1118771.344,1127201.869,1135564.637,1143857.714,1152142.158,1160492.901,1168952.455,1177558.249,1186267.932,1194945.859,1203404.171,1211507.251,1219222.166,1102427.77,1109079.047,1115618.536,1122068.485,1128448.274,1134768.649,1141038.445,1147264.463,1153466.136,1159603.616,1165712.015,1171970.953,1178616.948,1185797.339,1193593.811,1201895.006,1210415.157,1218754.801,1226619.041,1233838.562,1240583.138,1246880.54,1252882.682,1258696.328,1264339.059,1269751.118,1274873.931,1279624.541,1283949.419,1287829.764,1291304.998,1294451.096,1297374.626,1300156.229,1302823.677,1305366.94,1307782.045,1310052.626,1312166.603,1314132.701,1315962.48,1317648.518,1319179.576,1320548.46,1321755.129,1322805.783,1323708.968,1324475.902,1325116.157,1325635.004,1326035.187,1326320.33,1326493.579,1326558.606,1326520.159,1326384.35,1326158.572,1325850.967,1325468.817
"EIEs (Emerging Industrial Economies) (UNIDO)",1308781.539,1338974.473,1367048.464,1393896.312,1420253.684,1446699.541,1473649.259,1501361.583,1529956.232,1559445.239,1589824.546,1621172.278,1653734.572,1687962.372,1724407.319,1763414.756,1805148.165,1849368.944,1895502.332,1942732.811,1990412.627,2038414.929,2086741.263,2135033.83,2182905.597,2229962.928,2276294.866,2321885.5,2367205.124,2412936.761,2459600.282,2507161.167,2555507.281,2604980.172,2655988.102,2708705.79,2763389.706,2819666.419,2876302.25,2931629.043,2984449.126,3034270.873,3145510.04,3190474.003,3234228.675,3277492.924,3320404.839,3362769.9,3404594.372,3445818.279,3486414.407,3526443.233,3566012.934,3604245.886,3643086.161,3681674.945,3720017.572,3758133.173,3795484.381,3833410.79,3871341.501,3909288.245,3947159.308,3984777.09,4021918.708,4058401.587,4094170.179,4129175.857,4163259.584,4196242.377,4227993.953,4258428.292,4287548.5,4315433.711,4342218.106,4368002.289,4392793.632,4416560.465,4439320.487,4461089.134,4481875.443,4501695.216,4520544.263,4538386.379,4555169.655,4570857.555,4585441.968,4598936.987,4611355.52,4622719.049,4633046.408,4642345.209,4650621.158,4657890.352,4664171.439,4669482.009,4673837.656,4677251.686,4679736.398,4681303.587,4681966.787
